name,price,description,image_url
Ezogelin Çorbası,130 TL,"Kaşarlı tırnak pide, haydari, ezme, salata, çiğ köfte, ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Mercimek Çorbası,130 TL,"Kaşarlı tırnak pide, haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
İşkembe Çorbası,165 TL,"Kaşarlı tırnak pide, haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Kelle Paça Çorbası,165 TL,"Kaşarlı tırnak pide, haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Tuzlama Çorbası,165 TL,"Kaşarlı tırnak pide, haydari, ezme, salata, çiğ köfte, ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Beyin Çorbası,165 TL,"Tırnaklı kaşarlı ekmek, haydari, ezme, salata, çiğ köfte",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Karışık Çorba,175 TL,"İşkembe, kelle, paça, beyin. Tırnaklı kaşarlı ekmek, haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Cimbom Çorbası,130 TL,"Ezogelin, mercimek karışımı. Kaşarlı tırnak pide, haydari, ezme, salata, çiğ köfte, ile",N/A
Kızartma İçli Köfte,110 TL,Adet olarak servis edilmektedir.,https://micro-assets.foodora.com/img/logo-simple-ys.svg
Patates Kızartması,110 TL,Parmak dilim patates kızartması,https://micro-assets.foodora.com/img/logo-simple-ys.svg
Fındık Lahmacun,110 TL,Baharatlı kıyma harcının ince hamur üzerine yayılarak hazırlandığı küçük bir lahmacun çeşididir.,https://micro-assets.foodora.com/img/logo-simple-ys.svg
Çiğ Köfte,110 TL,"Bulgurun soğan, salça ve çeşitli baharatlar ile yoğurularak hazırlandığı bir yemektir.",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Adana Kebap,295 TL,"Haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Urfa Kebap,295 TL,"Haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Patlıcanlı Kebap,350 TL,"Haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
